Unnamed: 0,Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of update,Mapped Category
75,Rema1000,TREKORNSBRØD,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360720/image/1618576032/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.0,515.0,GR.,2025-04-18,BAGERI
76,Rema1000,CHOKOLADEBOLLE,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360656/image/1741767606/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.0,75.0,GR.,2025-04-18,BAGERI
77,Rema1000,DAGMARSTANG,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360754/image/1618576036/170.jpg,https://shop.rema1000.dk/brod-bavinchi,32.0,325.0,GR.,2025-04-18,BAGERI
78,Rema1000,HINDBÆRSNITTER,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360565/image/1648461865/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.0,250.0,GR.,2025-04-18,BAGERI
79,Rema1000,MORMORBRØD,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360715/image/1618576032/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.0,515.0,GR.,2025-04-18,BAGERI
80,Rema1000,TRØFLER,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360624/image/1618576030/170.jpg,https://shop.rema1000.dk/brod-bavinchi,30.0,290.0,GR.,2025-04-18,BAGERI
81,Rema1000,KANELSTANG,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360751/image/1618576035/170.jpg,https://shop.rema1000.dk/brod-bavinchi,32.0,370.0,GR.,2025-04-18,BAGERI
82,Rema1000,PØLSEHORN,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360819/image/1618576043/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.0,70.0,GR.,2025-04-18,BAGERI
83,Rema1000,PIZZASNEGL,BAVINCHI BAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/360867/image/1682687664/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,95.0,GR.,2025-04-18,BAGERI
84,Rema1000,BANAN,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304000/image/1618572642/170.jpg,https://shop.rema1000.dk/frugt-gront,2.5,1.0,STK.,2025-04-18,FRUGT & GRØNT
85,Rema1000,ØKO. BANANER FAIRTRADE,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304020/image/1618572695/170.jpg,https://shop.rema1000.dk/frugt-gront,10.0,1.0,BDT.,2025-04-18,FRUGT & GRØNT
86,Rema1000,"APPELSIN, GRÆKENLAND","PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304401/image/1618572703/170.jpg,https://shop.rema1000.dk/frugt-gront,3.5,1.0,STK.,2025-04-18,FRUGT & GRØNT
87,Rema1000,ØKO. CITRONER,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304585/image/1618572714/170.jpg,https://shop.rema1000.dk/frugt-gront,6.0,250.0,GR.,2025-04-18,FRUGT & GRØNT
88,Rema1000,ØKO. GOLDEN DELICIOUS,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304060/image/1618572696/170.jpg,https://shop.rema1000.dk/frugt-gront,2.5,1.0,STK.,2025-04-18,FRUGT & GRØNT
89,Rema1000,CONFERENCE PÆRER,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304314/image/1618572703/170.jpg,https://shop.rema1000.dk/frugt-gront,3.0,1.0,STK.,2025-04-18,FRUGT & GRØNT
90,Rema1000,"CITRON, SPANIEN","PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304560/image/1618572713/170.jpg,https://shop.rema1000.dk/frugt-gront,4.0,1.0,STK.,2025-04-18,FRUGT & GRØNT
91,Rema1000,ØKO. ÆBLER,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304785/image/1726565484/170.jpg,https://shop.rema1000.dk/frugt-gront,22.0,1.0,BAKKE,2025-04-18,FRUGT & GRØNT
92,Rema1000,PINK LADY ÆBLER,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304766/image/1618572718/170.jpg,https://shop.rema1000.dk/frugt-gront,27.0,1.0,BAKKE,2025-04-18,FRUGT & GRØNT
93,Rema1000,DANSKE ÆBLER I POSE,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304718/image/1726497280/170.jpg,https://shop.rema1000.dk/frugt-gront,24.0,1.5,KG.,2025-04-18,FRUGT & GRØNT
94,Rema1000,ØKO. APPELSINER,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304713/image/1727858382/170.jpg,https://shop.rema1000.dk/frugt-gront,18.0,1.0,KG.,2025-04-18,FRUGT & GRØNT
95,Rema1000,PÆRER I BK. MADSPILD,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304874/image/1639480733/170.jpg,https://shop.rema1000.dk/frugt-gront,20.0,1.0,KG.,2025-04-18,FRUGT & GRØNT
96,Rema1000,ØKO. GRAPEFRUGT,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304539/image/1727858455/170.jpg,https://shop.rema1000.dk/frugt-gront,7.0,1.0,STK.,2025-04-18,FRUGT & GRØNT
97,Rema1000,"APPELSIN, LAND SE VARE","PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304700/image/1618572715/170.jpg,https://shop.rema1000.dk/frugt-gront,28.0,2.0,KG.,2025-04-18,FRUGT & GRØNT
98,Rema1000,DANSKE ÆBLER I BK.,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304773/image/1736950853/170.jpg,https://shop.rema1000.dk/frugt-gront,18.0,1.0,STK.,2025-04-18,FRUGT & GRØNT
99,Rema1000,ÆBLER I POSE,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304740/image/1618572716/170.jpg,https://shop.rema1000.dk/frugt-gront,18.0,1.5,KG.,2025-04-18,FRUGT & GRØNT
100,Rema1000,EVELINA ÆBLER,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304095/image/1618572698/170.jpg,https://shop.rema1000.dk/frugt-gront,2.5,1.0,STK.,2025-04-18,FRUGT & GRØNT
101,Rema1000,ØKO. LIME,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/305657/image/1660202102/170.jpg,https://shop.rema1000.dk/frugt-gront,3.0,1.0,STK.,2025-04-18,FRUGT & GRØNT
102,Rema1000,FRUGT OG GRØNT POSE,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/172344/image/1618498300/170.jpg,https://shop.rema1000.dk/frugt-gront,3.0,1.0,STK.,2025-04-18,FRUGT & GRØNT
103,Rema1000,JONAGORED ÆBLER,"PÆRE, ÆBLE, BANAN & CITRUSFRUGT",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/304171/image/1618572701/170.jpg,https://shop.rema1000.dk/frugt-gront,2.5,1.0,STK.,2025-04-18,FRUGT & GRØNT
