Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update,Name Cleaned
Coop,Shaker*,2025-04-27,,,,,,,shaker
Coop,Nørregade frys-selv-is*,10,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe1b5cfcff3770347439dfd163cf06aa5%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fcafaf31ef660e0e990f2301a9fa32ef3%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3a210808ce1498f05f78ecd7bef24e9d%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7295c4833f615e9c7281ed54f2b758d9&w=378&s=c751f5e6c437e6399f0072efea2657c4,,8,x,2025-04-27,nørregade frysselvis
Coop,Danske Egnsgårde pakkemarked,32,,https://image-transformer-api.tjek.com/?_id=v2.6&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5dd6dbb30b0157478f14e8083a936bfc%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F9e1d10ff96f83c6e3e5a8f4b233f11da%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F35261f5081b4e405bc96bdb433fba8a4%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3a36f45235736346ac5e73a296b25365%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3fb4d1077a232feb25cfc04ae8555ff4&w=828&s=305a08edfdec096427b988bc3c36e86d,,400-475,g,2025-04-27,egnsgårde pakkemarked
Coop,Frijsenborg hel kylling,62,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3a79a823f926bccab35fc1cdc10864b3&w=828&s=d77e8a03bc5412faf2de46fbef39f32c,,550-1350,g,2025-04-27,frijsenborg hel kylling
Coop,kyllingefilet,62,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3a79a823f926bccab35fc1cdc10864b3&w=828&s=d77e8a03bc5412faf2de46fbef39f32c,,550-1350,g,2025-04-27,kyllingefilet
Coop,Danske Egnsgårde kalvewienerschnitzel,35,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8e3bc7b5837266f0692d23ad7c6a1045%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6e2a3ae80ff5ea166a77fbcd4bde8ac8&w=828&s=faa9f90c73ffac8ed522d54f6fec837f,,200,g,2025-04-27,egnsgårde kalvewienerschnitzel
Coop,kalvesteaks,35,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8e3bc7b5837266f0692d23ad7c6a1045%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6e2a3ae80ff5ea166a77fbcd4bde8ac8&w=828&s=faa9f90c73ffac8ed522d54f6fec837f,,200,g,2025-04-27,kalvesteaks
Coop,"Kyllingeover-, underlår",29,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F48b62e22daa3340f5e45686c6c21b035&w=828&s=41178085fb33a97e88c791b7467b016a,,450-800,g,2025-04-27,"kyllingeover, underlår"
Coop,hakket kylling 7-10%,29,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F48b62e22daa3340f5e45686c6c21b035&w=828&s=41178085fb33a97e88c791b7467b016a,,450-800,g,2025-04-27,hakket kylling
Coop,Kyllingebryst med lage,55,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F01f94468753542291a166b765db633c7&w=828&s=261c20ae9c33d445a50ba2e02f32258e,,800,g,2025-04-27,kyllingebryst med lage
